route_id,service_id,trip_id,trip_headsign,direction_id,shape_id,wheelchair_accessible
539,0000001642025061320250909,0004330972025061320250909,Bettini "Madonna Bianca",0,D586_T0431_Andata_PRINCIPALE_sub1,1
539,0000001642025061320250909,0004330982025061320250909,Roncafort Nord,1,D587_T0432a_Ritorno_sub1,1
539,0000001642025061320250909,0004330992025061320250909,Bettini "Madonna Bianca",0,D586_T0431_Andata_PRINCIPALE_sub1,1
539,0000001642025061320250909,0004331002025061320250909,Roncafort Nord,1,D587_T0432a_Ritorno_sub1,1
539,0000001642025061320250909,0004331012025061320250909,Bettini "Madonna Bianca",0,D586_T0431_Andata_PRINCIPALE_sub1,1
539,0000001642025061320250909,0004331022025061320250909,Roncafort,1,D164_F0410_Ritorno_sub1,1
539,0000001642025061320250909,0004331042025061320250909,Roncafort Nord,1,D587_T0432a_Ritorno_sub1,1
539,0000001642025061320250909,0004331052025061320250909,Bettini "Madonna Bianca",0,D586_T0431_Andata_PRINCIPALE_sub1,1
539,0000001642025061320250909,0004331062025061320250909,Roncafort Nord,1,D587_T0432a_Ritorno_sub1,1
539,0000001642025061320250909,0004331072025061320250909,Bettini "Madonna Bianca",0,D586_T0431_Andata_PRINCIPALE_sub1,1
539,0000001642025061320250909,0004331082025061320250909,Roncafort Nord,1,D587_T0432a_Ritorno_sub1,1
539,0000001642025061320250909,0004331092025061320250909,Bettini "Madonna Bianca",0,D586_T0431_Andata_PRINCIPALE_sub1,1
539,0000001642025061320250909,0004331102025061320250909,Roncafort Nord,1,D587_T0432a_Ritorno_sub1,1
539,0000001642025061320250909,0004331122025061320250909,Roncafort,1,D164_F0410_Ritorno_sub1,1
539,0000001642025061320250909,0004331132025061320250909,Bettini "Madonna Bianca",0,D586_T0431_Andata_PRINCIPALE_sub1,1
539,0000001642025061320250909,0004331142025061320250909,Roncafort Nord,1,D587_T0432a_Ritorno_sub1,1
539,0000001642025061320250909,0004331152025061320250909,Bettini "Madonna Bianca",0,D586_T0431_Andata_PRINCIPALE_sub1,1
539,0000001642025061320250909,0004331162025061320250909,Roncafort Nord,1,D587_T0432a_Ritorno_sub1,1
539,0000001642025061320250909,0004331172025061320250909,Bettini "Madonna Bianca",0,D586_T0431_Andata_PRINCIPALE_sub1,1
539,0000001642025061320250909,0004331182025061320250909,Roncafort Nord,1,D587_T0432a_Ritorno_sub1,1
539,0000001642025061320250909,0004331192025061320250909,Bettini "Madonna Bianca",0,D586_T0431_Andata_PRINCIPALE_sub1,1
539,0000001642025061320250909,0004331202025061320250909,Roncafort Nord,1,D587_T0432a_Ritorno_sub1,1
539,0000001642025061320250909,0004331212025061320250909,Bettini "Madonna Bianca",0,D586_T0431_Andata_PRINCIPALE_sub1,1
539,0000001642025061320250909,0004331222025061320250909,Roncafort Nord,1,D587_T0432a_Ritorno_sub1,1
539,0000001642025061320250909,0004331232025061320250909,Bettini "Madonna Bianca",0,D586_T0431_Andata_PRINCIPALE_sub1,1
396,0000001642025061320250909,0004331252025061320250909,Cortesano,1,D565_T0360_Ritorno_sub2,1
396,0000001642025061320250909,0004331262025061320250909,Conci "Villazzano 3",0,D144_F0301a_Andata_sub2,1
396,0000001642025061320250909,0004331272025061320250909,Cortesano,1,D565_T0360_Ritorno_sub2,1
396,0000001642025061320250909,0004331292025061320250909,Cortesano,1,D565_T0360_Ritorno_sub2,1
396,0000001642025061320250909,0004331302025061320250909,Conci "Villazzano 3",0,D530_T0303_Andata_sub2,1
396,0000001642025061320250909,0004331312025061320250909,Cortesano,1,D565_T0360_Ritorno_sub2,1
396,0000001642025061320250909,0004331332025061320250909,Cortesano,1,D565_T0360_Ritorno_sub2,1
396,0000001642025061320250909,0004331342025061320250909,Conci "Villazzano 3",0,D144_F0301a_Andata_sub2,1
396,0000001642025061320250909,0004331352025061320250909,Cortesano,1,D565_T0360_Ritorno_sub2,1
396,0000001642025061320250909,0004331362025061320250909,Conci "Villazzano 3",0,D144_F0301a_Andata_sub2,1
396,0000001642025061320250909,0004331382025061320250909,Cortesano,1,D539_T0318_Ritorno_(Meano_2)_PRINCIPALE_sub2,1
396,0000001642025061320250909,0004331392025061320250909,Conci "Villazzano 3",0,D549_T0331b_Andata_(Meano_2)_PRINCIPALE_sub1,1
396,0000001642025061320250909,0004331402025061320250909,Cortesano,1,D565_T0360_Ritorno_sub2,1
396,0000001642025061320250909,0004331412025061320250909,Conci "Villazzano 3",0,D549_T0331b_Andata_(Meano_2)_PRINCIPALE_sub1,1
396,0000001642025061320250909,0004331422025061320250909,Cortesano,1,D539_T0318_Ritorno_(Meano_2)_PRINCIPALE_sub2,1
396,0000001642025061320250909,0004331432025061320250909,Conci "Villazzano 3",0,D549_T0331b_Andata_(Meano_2)_PRINCIPALE_sub1,1
396,0000001642025061320250909,0004331442025061320250909,Cortesano,1,D539_T0318_Ritorno_(Meano_2)_PRINCIPALE_sub2,1
396,0000001642025061320250909,0004331452025061320250909,Conci "Villazzano 3",0,D549_T0331b_Andata_(Meano_2)_PRINCIPALE_sub1,1
396,0000001642025061320250909,0004331462025061320250909,Conci "Villazzano 3",0,D549_T0331b_Andata_(Meano_2)_PRINCIPALE_sub1,1
396,0000001642025061320250909,0004331472025061320250909,Cortesano,1,D539_T0318_Ritorno_(Meano_2)_PRINCIPALE_sub2,1
396,0000001642025061320250909,0004331482025061320250909,Cortesano,1,D539_T0318_Ritorno_(Meano_2)_PRINCIPALE_sub2,1
396,0000001642025061320250909,0004331492025061320250909,Conci "Villazzano 3",0,D144_F0301a_Andata_sub2,1
396,0000001642025061320250909,0004331502025061320250909,Conci "Villazzano 3",0,D144_F0301a_Andata_sub2,1
396,0000001642025061320250909,0004331512025061320250909,Conci "Villazzano 3",0,D549_T0331b_Andata_(Meano_2)_PRINCIPALE_sub1,1
396,0000001642025061320250909,0004331522025061320250909,Cortesano,1,D539_T0318_Ritorno_(Meano_2)_PRINCIPALE_sub2,1
396,0000001642025061320250909,0004331532025061320250909,Conci "Villazzano 3",0,D549_T0331b_Andata_(Meano_2)_PRINCIPALE_sub1,1
396,0000001642025061320250909,0004331542025061320250909,Cortesano,1,D539_T0318_Ritorno_(Meano_2)_PRINCIPALE_sub2,1
396,0000001642025061320250909,0004331552025061320250909,Cortesano,1,D539_T0318_Ritorno_(Meano_2)_PRINCIPALE_sub2,1
396,0000001642025061320250909,0004331562025061320250909,Conci "Villazzano 3",0,D551_T0333_Andata_(Camparta_Meano_2)_sub1,1
396,0000001642025061320250909,0004331572025061320250909,Cortesano,1,D539_T0318_Ritorno_(Meano_2)_PRINCIPALE_sub2,1
396,0000001642025061320250909,0004331582025061320250909,Conci "Villazzano 3",0,D549_T0331b_Andata_(Meano_2)_PRINCIPALE_sub1,1
396,0000001642025061320250909,0004331592025061320250909,Cortesano,1,D539_T0318_Ritorno_(Meano_2)_PRINCIPALE_sub2,1
396,0000001642025061320250909,0004331602025061320250909,Conci "Villazzano 3",0,D549_T0331b_Andata_(Meano_2)_PRINCIPALE_sub1,1
396,0000001642025061320250909,0004331612025061320250909,Cortesano,1,D539_T0318_Ritorno_(Meano_2)_PRINCIPALE_sub2,1
396,0000001642025061320250909,0004331622025061320250909,Conci "Villazzano 3",0,D144_F0301a_Andata_sub2,1
396,0000001642025061320250909,0004331632025061320250909,Cortesano,1,D565_T0360_Ritorno_sub2,1
396,0000001642025061320250909,0004331642025061320250909,Conci "Villazzano 3",0,D144_F0301a_Andata_sub2,1
396,0000001642025061320250909,0004331652025061320250909,Cortesano,1,D565_T0360_Ritorno_sub2,1
396,0000001642025061320250909,0004331662025061320250909,Conci "Villazzano 3",0,D144_F0301a_Andata_sub2,1
396,0000001642025061320250909,0004331672025061320250909,Cortesano,1,D565_T0360_Ritorno_sub2,1
396,0000001642025061320250909,0004331682025061320250909,Conci "Villazzano 3",0,D144_F0301a_Andata_sub2,1
